"publication_year per year","contributors.contributorType: Descending",Count
2019,Distributor,"16,039"
2019,ResearchGroup,"13,290"
2019,RelatedPerson,"12,854"
2019,Supervisor,"9,320"
2019,RightsHolder,"4,452"
2019,Sponsor,"2,081"
2019,RegistrationAgency,"1,631"
2019,ProjectMember,311
2019,ProjectManager,200
2019,Funder,170
2019,WorkPackageLeader,21
2019,RegistrationAuthority,3
2020,ContactPerson,"304,197"
2020,HostingInstitution,"222,739"
2020,RegistrationAuthority,"156,118"
2020,Other,"125,918"
2020,ResearchGroup,"114,744"
2020,Producer,"95,400"
2020,DataManager,"65,063"
2020,Researcher,"31,353"
2020,Distributor,"21,647"
2020,RelatedPerson,"14,278"
2020,DataCurator,"12,253"
2020,Editor,"10,263"
2020,Supervisor,"9,749"
2020,ProjectLeader,"8,695"
2020,DataCollector,"7,440"
2020,RightsHolder,"3,299"
2020,RegistrationAgency,"1,454"
2020,Sponsor,"1,277"
2020,ProjectMember,415
2020,Funder,176
2020,ProjectManager,172
2020,WorkPackageLeader,30
2021,ContactPerson,"1,950,295"
2021,Other,"115,090"
2021,ProjectMember,"95,784"
2021,HostingInstitution,"71,322"
2021,DataManager,"69,605"
2021,Distributor,"49,109"
2021,Producer,"46,538"
2021,RegistrationAuthority,"41,385"
2021,Researcher,"37,533"
2021,RelatedPerson,"17,765"
2021,DataCurator,"13,383"
2021,Editor,"9,787"
2021,Supervisor,"9,684"
2021,DataCollector,"8,010"
2021,ProjectLeader,"6,643"
2021,RightsHolder,"4,483"
2021,Sponsor,"1,751"
2021,RegistrationAgency,"1,635"
2021,ResearchGroup,"1,236"
2021,ProjectManager,410
2021,Funder,174
2021,WorkPackageLeader,39
2022,ContactPerson,"417,144"
2022,Producer,"103,666"
2022,Other,"80,517"
2022,HostingInstitution,"51,028"
2022,DataManager,"27,528"
2022,ProjectMember,"26,160"
2022,Distributor,"23,144"
2022,RelatedPerson,"17,892"
2022,Researcher,"15,923"
2022,DataCurator,"15,595"
2022,RegistrationAuthority,"11,367"
2022,RightsHolder,"5,679"
2022,Supervisor,"5,082"
2022,Editor,"3,997"
2022,DataCollector,"3,589"
2022,ProjectLeader,"2,733"
2022,Sponsor,"1,429"
2022,RegistrationAgency,"1,172"
2022,ProjectManager,572
2022,ResearchGroup,546
2022,Funder,55
2022,WorkPackageLeader,38
2023,DataCollector,752
2023,HostingInstitution,701
2023,DataManager,698
2023,RightsHolder,604
2023,Distributor,587
2023,RegistrationAgency,582
2023,Other,384
2023,Editor,106
2023,RelatedPerson,88
2023,ContactPerson,25
2023,Supervisor,20
2023,ProjectLeader,6
2023,DataCurator,5
2023,Researcher,5
2023,ProjectMember,4
2023,Sponsor,4
2023,ResearchGroup,1
2024,DataCollector,841
2024,Other,71
2024,HostingInstitution,33
2024,DataManager,32
2024,RelatedPerson,29
2024,ContactPerson,24
2024,Supervisor,18
2024,RightsHolder,12
2024,DataCurator,9
2024,ProjectLeader,9
2024,ProjectMember,9
2024,Sponsor,2
2024,Distributor,1
